,bathrooms,bedrooms,interest_level,num_photos,num_features,num_description_words,created_month,created_day,neighbourhood,price
707,1.0,1,medium,7,3,183,6,2,Windsor Terrace,2300
786,1.0,3,low,3,1,44,6,12,Prospect Heights,2600
788,2.0,5,low,15,3,255,6,10,Fort Greene,7995
816,2.0,2,medium,7,8,336,6,14,Brooklyn Heights,4708
883,1.0,0,low,1,2,82,6,8,Prospect Heights,2100
886,1.0,2,high,6,2,24,6,8,Weeksville,1650
892,1.0,2,medium,6,1,94,6,12,Boerum Hill,2887
898,2.0,2,low,4,5,81,6,1,Brooklyn Heights,4915
925,1.0,2,low,9,6,68,6,15,Broadway Junction,2450
965,1.0,0,low,3,12,109,6,6,Brooklyn Heights,2780
998,1.5,1,low,10,4,79,6,11,Dumbo,4995
1007,1.0,1,low,5,2,95,6,9,Greenpoint,2292
1017,1.0,1,high,9,0,9,6,12,Prospect Park South,1600
1037,1.5,2,low,4,5,149,6,12,Dumbo,5600
1038,1.0,1,medium,13,0,9,6,5,Windsor Terrace,1900
1064,1.0,3,low,10,5,59,6,9,Prospect Park South,2600
1076,1.0,3,medium,3,1,53,6,12,Bay Ridge,2300
1159,1.0,0,low,0,0,9,6,2,Sunset Park,1500
1234,1.0,2,low,0,2,9,6,12,Prospect Heights,3000
1250,1.0,1,low,9,3,4,6,21,Prospect Lefferts Gardens,2750
1294,1.0,0,low,4,5,91,6,6,Dumbo,2665
1300,1.0,1,medium,5,4,152,6,21,Brooklyn Heights,3100
1336,1.0,1,low,2,7,49,6,16,Boerum Hill,3700
1343,1.0,0,medium,6,0,9,6,12,Windsor Terrace,1625
1366,1.0,1,low,5,5,9,6,6,Dumbo,3400
1378,1.0,1,low,2,6,51,6,8,Bedford Stuyvesant,2400
1390,1.0,3,medium,11,2,84,6,1,Crown Heights,2350
1393,2.0,2,high,4,3,146,6,27,Greenpoint,3100
1401,2.0,2,low,7,15,189,6,21,Boerum Hill,4380
1407,1.0,2,low,6,4,71,6,28,Boerum Hill,4575
1412,1.0,1,medium,6,1,108,6,17,Ditmas Park,1600
1457,2.0,1,low,8,5,12,6,26,Dumbo,5499
1478,1.0,2,medium,4,1,31,6,2,Sunset Park,2400
1531,1.0,3,low,5,0,21,6,3,Dyker Heights,2800
1541,1.0,0,medium,12,8,33,6,8,North Side,3200
1637,1.0,1,medium,6,1,9,6,12,Park Slope,2400
1708,1.0,0,medium,2,6,40,6,11,Brighton Beach,1550
1811,1.0,3,medium,8,5,40,6,8,Bedford Stuyvesant,2250
1845,1.0,0,low,4,3,76,6,28,Fulton Ferry,1900
1896,1.0,0,medium,7,1,103,6,6,Brooklyn Heights,2300
1938,1.0,2,low,11,1,23,6,16,Bushwick,2175
1946,1.0,1,low,4,3,107,6,12,Dumbo,5595
1957,2.0,4,low,8,3,161,6,24,Bedford Stuyvesant,3600
1989,1.0,3,low,7,4,81,6,22,Ocean Hill,2450
2017,1.0,3,low,8,9,104,6,27,Prospect Heights,3300
2073,2.0,3,medium,0,1,35,6,17,Weeksville,2200
2120,1.0,2,low,4,3,105,6,16,Ocean Hill,2350
2157,1.5,4,low,13,6,62,6,20,Prospect Lefferts Gardens,3000
2190,2.0,3,low,9,8,336,6,14,Brooklyn Heights,6738
2193,2.0,3,medium,6,3,32,6,8,Ocean Hill,2500
2219,1.0,2,medium,9,0,54,6,20,Ocean Hill,1800
2234,1.0,2,medium,5,2,105,6,11,Greenpoint,2995
2256,2.0,2,medium,9,7,118,6,27,Wingate,2450
2266,2.0,3,low,3,5,93,6,3,Clinton Hill,5950
2286,1.0,3,medium,5,3,23,6,9,Weeksville,2300
2307,1.0,1,low,3,6,27,6,29,Brighton Beach,1595
2371,1.0,0,high,6,3,39,6,2,Fort Greene,2000
2391,1.0,2,medium,8,1,37,6,12,Bedford Stuyvesant,2300
2395,1.0,2,high,1,1,69,6,9,East New York,1550
2418,1.0,1,low,5,0,88,6,14,East Williamsburg,2500
2423,1.0,2,medium,5,3,96,6,1,Clinton Hill,2600
2426,1.0,1,low,1,0,45,6,12,Clinton Hill,2500
2452,1.0,2,low,10,3,65,6,10,North Side,4300
2460,1.0,3,medium,0,0,9,6,12,Weeksville,2200
2491,1.0,2,low,4,1,125,6,12,Williamsburg,2600
2499,1.0,2,medium,10,5,66,6,8,East Williamsburg,2400
2506,1.0,3,medium,7,2,160,6,24,Greenpoint,3250
2514,1.0,2,low,11,8,69,6,1,Downtown,3700
2557,2.0,3,low,3,2,63,6,13,Sunset Park,2095
2574,1.0,1,low,0,1,1,6,29,Boerum Hill,3275
2603,1.0,2,high,8,3,72,6,2,Bushwick,2250
2695,1.0,1,medium,4,3,11,6,12,Brooklyn Heights,2250
2713,1.0,1,medium,4,5,118,6,4,Dumbo,4520
2740,1.0,2,medium,15,2,9,6,11,Gowanus,2500
2766,1.0,0,low,5,4,9,6,12,Dumbo,2650
2787,1.0,0,medium,6,2,143,6,16,Downtown,2352
2792,1.0,3,low,0,2,9,6,12,Prospect Heights,3600
2830,1.0,3,low,3,0,26,6,16,Bushwick,2595
2842,1.0,0,medium,4,3,24,6,21,Prospect Heights,2100
2858,1.0,1,low,0,1,1,6,11,Brooklyn Heights,2575
2884,1.0,0,high,5,1,57,6,2,Gravesend,1275
2893,1.0,2,low,8,3,126,6,28,Bedford Stuyvesant,1900
2894,1.0,1,medium,1,9,15,6,7,Brooklyn Heights,2225
2928,1.0,2,medium,6,4,166,6,26,Carroll Gardens,3100
2934,1.0,1,low,7,0,39,6,8,North Side,2500
2937,1.0,1,low,7,4,101,6,12,Downtown,3120
2980,1.0,1,high,3,3,118,6,11,Sunset Park,1395
3010,1.0,1,low,7,4,78,6,27,Dumbo,3400
3034,1.5,2,low,11,3,9,6,12,Brighton Beach,2600
3058,1.0,0,low,0,2,152,6,8,Brooklyn Heights,2250
3071,1.0,0,low,10,3,9,6,28,Kensington,1675
3092,1.0,3,low,12,4,55,6,3,Bushwick,2700
3130,1.0,1,low,4,3,44,6,4,Cobble Hill,3495
3162,1.0,2,low,4,3,47,6,24,Bensonhurst,2000
3179,1.0,2,medium,6,1,207,6,12,Bushwick,2475
3213,2.0,3,low,2,3,45,6,23,Crown Heights,3150
3257,1.0,0,low,5,1,45,6,18,Prospect Park South,1750
3264,1.0,3,low,6,4,45,6,13,Crown Heights,3000
3338,1.5,2,low,7,10,108,6,21,North Side,4950
3400,1.0,0,low,3,3,72,6,22,Park Slope,1900
3423,1.0,1,low,4,1,9,6,11,Clinton Hill,2100
3438,2.0,3,medium,6,5,198,6,22,Greenpoint,3399
3441,1.0,2,high,12,4,53,6,21,Bay Ridge,1900
3461,1.0,0,low,6,4,114,6,9,North Side,2682
3635,2.0,2,low,13,4,76,6,3,Kensington,2850
3658,1.0,1,low,7,3,9,6,12,Prospect Park South,2200
3682,1.0,1,medium,5,1,58,6,21,Park Slope,2900
3697,1.0,2,low,5,1,59,6,14,Prospect Heights,2370
3715,1.0,1,low,8,3,173,6,29,North Side,2600
3789,1.0,3,low,12,10,73,6,27,Bushwick,2598
3798,1.0,1,low,15,1,216,6,11,Hunters Point,2453
3800,1.0,1,medium,5,2,48,6,4,Broadway Junction,1900
3828,1.0,2,high,6,0,45,6,20,Weeksville,1800
3834,1.0,1,low,6,1,93,6,24,Clinton Hill,2200
3858,1.0,1,low,7,3,75,6,24,Prospect Heights,2600
3917,1.0,1,low,4,0,39,6,2,East Williamsburg,2150
3939,1.0,1,medium,10,6,32,6,8,Prospect Heights,2500
4002,1.0,3,medium,7,3,87,6,11,South Side,3750
4030,1.0,3,medium,6,2,45,6,17,Remsen Village,1995
4061,3.0,4,low,7,4,138,6,7,Bushwick,5000
4063,1.0,0,high,12,1,1,6,29,Fulton Ferry,1850
4156,1.0,1,medium,8,5,39,6,7,Brooklyn Heights,3000
4161,1.0,1,low,5,0,50,6,11,North Side,3400
4166,1.0,3,high,4,0,92,6,25,Bay Ridge,2200
4236,1.0,2,medium,5,1,51,6,4,Highland Park,2250
4287,1.0,2,low,6,0,107,6,12,North Side,3200
4324,1.0,1,low,4,5,46,6,1,Dumbo,3565
4342,1.0,2,high,4,4,96,6,8,Prospect Heights,2400
4358,2.0,2,low,11,4,43,6,8,North Side,4845
4363,1.0,2,medium,11,2,70,6,10,Prospect Heights,2300
4388,1.0,0,low,6,6,24,6,25,Downtown,2650
4396,2.0,3,high,7,13,107,6,7,Downtown,3425
4417,1.0,1,low,9,10,250,6,15,Wingate,2450
4516,1.0,2,low,3,4,43,6,10,Flatlands,1850
4569,1.0,0,low,1,3,38,6,21,Downtown,2690
4572,2.0,4,low,18,3,34,6,21,East Flatbush,3400
4595,1.0,3,low,9,3,105,6,23,Crown Heights,2700
4607,1.0,2,low,5,1,59,6,4,Prospect Heights,2370
4681,2.0,4,low,8,5,37,6,8,Bushwick,3300
4705,1.0,3,low,8,5,95,6,20,Bushwick,3850
4772,2.0,5,medium,12,9,40,6,6,Bushwick,4600
4835,1.0,1,medium,10,2,99,6,11,Park Slope,2350
4836,1.0,2,low,9,15,69,6,23,Downtown,2890
4843,2.0,3,low,7,11,181,6,16,Clinton Hill,4495
4847,1.0,2,medium,6,2,268,6,22,Madison,1846
4951,1.0,0,low,0,0,9,6,12,North Side,2950
4988,1.0,1,low,6,1,86,6,16,Cobble Hill,2200
5036,2.0,2,low,4,6,46,6,16,Downtown,4395
5067,1.0,1,low,9,1,176,6,28,Carroll Gardens,2575
5136,1.0,2,high,3,2,71,6,16,Prospect Heights,2250
5190,1.0,1,low,4,4,152,6,13,North Side,4100
5208,1.0,0,low,0,0,2,6,2,North Side,25000
5220,2.0,2,low,7,3,96,6,7,Greenpoint,4300
5261,1.0,2,low,11,1,20,6,7,Bushwick,2225
5292,1.0,3,medium,19,1,172,6,4,Kensington,2850
5295,1.0,3,low,8,1,43,6,21,North Side,3995
5402,1.0,1,low,5,2,108,6,6,Boerum Hill,2225
5458,1.0,1,medium,7,0,73,6,12,Madison,1600
5467,1.0,1,medium,8,9,175,6,24,Kensington,2100
5505,1.0,1,medium,3,2,22,6,4,Bushwick,2000
5523,1.0,3,medium,9,3,22,6,13,Bushwick,2400
5541,1.0,2,medium,6,1,125,6,13,Fort Greene,2800
5570,2.0,3,low,11,5,118,6,14,Crown Heights,4000
5572,2.0,3,medium,6,1,42,6,26,Ocean Hill,2400
5633,1.0,2,high,7,6,107,6,23,Bushwick,2499
5646,2.0,3,low,10,9,106,6,21,Clinton Hill,5750
5652,1.0,1,low,3,1,34,6,23,Ocean Hill,1900
5732,2.0,4,low,0,2,45,6,21,Ocean Hill,3400
5814,2.0,3,medium,1,5,90,6,16,Bushwick,2750
5869,1.0,2,medium,5,0,80,6,29,Ocean Hill,1900
5903,1.0,1,low,8,4,186,6,3,Midwood,1695
5924,2.0,2,low,8,4,78,6,28,Downtown,4269
5952,1.0,2,high,4,2,43,6,21,East New York,1475
5968,1.0,2,medium,8,3,151,6,29,Cobble Hill,3300
6007,1.0,3,high,1,2,87,6,9,Crown Heights,2200
6017,1.0,1,medium,9,8,70,6,25,South Side,2108
6039,1.0,1,low,5,0,22,6,11,Ocean Hill,1850
6072,1.0,0,low,3,1,92,6,3,Remsen Village,1850
6144,1.0,0,medium,5,4,83,6,24,Kensington,1650
6152,1.0,0,low,7,6,108,6,16,Downtown,2600
6202,1.0,4,low,10,7,37,6,20,Bushwick,4550
6255,2.5,4,low,8,5,161,6,16,Bedford Stuyvesant,6738
6266,1.0,2,medium,10,0,30,6,12,Bedford Stuyvesant,2399
6278,1.0,2,low,7,0,9,6,12,Park Slope,3500
6305,1.0,2,low,5,1,2,6,21,South Side,3150
6346,1.0,1,medium,7,13,131,6,16,Brooklyn Heights,3420
6347,1.0,2,low,0,4,1,6,17,East Williamsburg,2695
6402,1.0,1,low,2,4,56,6,4,Boerum Hill,3075
6410,1.0,1,low,4,4,147,6,23,North Side,3485
6427,1.0,1,low,2,3,22,6,25,Prospect Heights,2050
6435,1.0,0,high,3,3,48,6,6,Clinton Hill,1595
6437,1.0,2,low,6,1,45,6,25,North Side,2450
6459,1.0,1,medium,5,6,57,6,2,Bay Ridge,1800
6492,1.0,2,medium,5,3,154,6,12,Sunset Park,2200
6497,1.0,2,high,12,26,134,6,10,Prospect Lefferts Gardens,3230
6517,1.0,0,low,4,5,115,6,12,North Side,2850
6534,2.0,3,low,12,2,41,6,7,Ocean Hill,3000
6569,1.0,0,low,3,5,67,6,12,Dumbo,2650
6579,1.0,0,low,6,0,40,6,27,Kensington,1725
6588,1.0,1,low,4,4,99,6,3,Vinegar Hill,2400
6609,1.0,3,high,7,0,46,6,12,Bensonhurst,1850
6622,2.0,4,low,3,0,25,6,24,Clinton Hill,3975
6661,2.0,4,low,0,1,9,6,28,Prospect Park South,2900
6746,2.0,3,medium,12,5,54,6,20,Bushwick,3300
6760,1.0,1,low,0,1,12,6,21,East Williamsburg,2350
6777,1.0,1,low,13,3,9,6,16,Dumbo,5490
6795,1.0,1,medium,6,3,64,6,11,Weeksville,1900
6833,1.0,1,low,15,4,193,6,6,Weeksville,2250
6871,2.0,3,low,19,3,35,6,9,Weeksville,2900
6880,2.0,4,medium,8,4,213,6,8,Bushwick,3199
6911,1.0,2,high,1,0,46,6,21,Sunset Park,1600
6928,1.0,1,high,3,0,9,6,29,Sunset Park,1500
6968,2.0,2,medium,9,0,86,6,24,North Side,3400
6969,1.0,2,medium,8,1,74,6,8,Weeksville,2000
7015,1.0,1,low,4,3,43,6,22,Flatbush,1550
7022,1.0,2,low,0,3,57,6,16,Bushwick,3200
7037,2.0,4,low,11,4,83,6,29,Carroll Gardens,4708
7052,2.0,2,medium,11,0,143,6,12,North Side,5800
7080,1.0,2,medium,0,1,35,6,28,Weeksville,1800
7126,1.0,2,medium,3,3,70,6,4,East Williamsburg,3000
7144,1.0,0,medium,7,4,175,6,18,Brooklyn Heights,2250
7258,1.0,2,low,6,5,35,6,9,East Williamsburg,2595
7267,1.0,2,medium,5,0,186,6,12,Bensonhurst,1800
7323,1.0,1,low,13,4,198,6,22,Weeksville,2750
7362,1.0,1,low,17,3,9,6,16,North Side,3505
7371,1.0,3,low,8,4,77,6,23,Prospect Heights,3250
7384,1.0,1,low,0,4,1,6,21,Bensonhurst,1550
7424,1.0,1,high,8,0,46,6,1,East Williamsburg,1800
7428,1.0,2,medium,6,3,43,6,29,Crown Heights,2575
7432,1.0,4,low,10,3,39,6,19,Prospect Heights,3500
7459,1.0,1,low,0,6,37,6,21,Bedford Stuyvesant,2150
7611,1.0,3,low,6,3,49,6,14,Prospect Park South,2600
7629,1.0,1,low,7,4,75,6,29,North Side,4400
7649,1.0,3,high,8,2,76,6,7,Williamsburg,2900
7654,1.0,2,low,10,7,268,6,25,Bedford Stuyvesant,2090
7655,1.0,3,low,7,2,53,6,27,Bushwick,3700
7673,1.0,1,low,7,1,52,6,24,Cobble Hill,2650
7685,1.0,0,low,4,0,65,6,16,Brooklyn Heights,2125
7701,1.0,1,low,4,11,119,6,20,Clinton Hill,3375
7702,1.0,2,medium,11,6,101,6,16,North Side,3595
7703,1.0,1,low,5,3,80,6,1,North Side,3550
7707,1.0,1,high,4,0,43,6,28,Dyker Heights,1450
7708,2.0,3,low,9,4,78,6,15,Windsor Terrace,5200
7723,1.0,0,medium,6,3,162,6,17,Crown Heights,1845
7754,1.0,1,medium,3,1,74,6,9,Crown Heights,1500
7756,1.0,3,low,1,0,71,6,21,Bensonhurst,2200
7768,2.0,2,low,11,6,170,6,10,Ocean Hill,3046
7787,1.0,1,medium,5,4,64,6,22,Ocean Parkway,1675
7795,1.0,1,low,4,1,38,6,6,Weeksville,1500
7802,1.0,1,low,9,5,121,6,7,Cobble Hill,2800
7803,1.0,4,low,4,3,105,6,6,Clinton Hill,4250
7812,1.0,1,medium,5,4,35,6,9,Prospect Heights,2350
7851,1.0,1,low,4,3,93,6,3,Gowanus,1850
7866,1.0,2,low,4,1,95,6,21,Park Slope,2700
7874,1.0,1,high,11,1,109,6,23,Carroll Gardens,1650
7877,1.0,1,low,10,14,176,6,11,Gowanus,3150
7878,1.0,2,low,11,3,144,6,24,North Side,4400
7894,1.0,2,low,6,3,9,6,11,Windsor Terrace,2800
7916,1.0,0,medium,10,12,234,6,17,North Side,2562
7933,1.0,2,low,5,3,138,6,28,Broadway Junction,2800
8025,1.0,2,low,0,2,41,6,25,Bushwick,2300
8064,1.0,2,low,10,2,9,6,16,Williamsburg,3700
8071,1.0,2,high,8,4,89,6,12,Prospect Lefferts Gardens,2769
8088,1.0,2,low,2,3,9,6,2,Prospect Heights,2795
8106,1.5,3,medium,5,5,141,6,8,Windsor Terrace,3900
8123,1.0,2,high,3,0,27,6,13,Homecrest,1650
8128,1.0,1,medium,8,2,59,6,2,Park Slope,2500
8162,1.0,3,medium,6,5,124,6,9,Weeksville,2295
8173,1.0,2,medium,6,3,112,6,24,South Side,2995
8183,1.0,1,high,4,5,58,6,17,South Side,2125
8187,1.0,1,low,4,2,73,6,20,Crown Heights,2050
8217,1.0,2,low,4,2,99,6,3,Clinton Hill,3000
8241,1.0,1,low,13,9,324,6,22,Gowanus,3129
8242,1.0,1,medium,6,7,57,6,2,Gerritsen Beach,1650
8290,1.0,2,medium,11,3,69,6,15,Fort Greene,2995
8320,1.0,2,medium,15,3,20,6,22,Bay Ridge,2500
8330,1.0,2,low,8,4,115,6,17,Bedford Stuyvesant,2950
8369,1.0,0,low,29,17,25,6,23,Brooklyn Heights,3595
8375,1.0,1,low,15,9,183,6,23,Downtown,2995
8397,2.0,3,medium,10,1,41,6,20,Flatbush,2200
8408,1.0,2,medium,10,2,57,6,1,Brighton Beach,2125
8422,1.0,3,low,1,3,103,6,24,Bedford Stuyvesant,2890
8460,1.0,0,low,0,4,122,6,4,Bedford Stuyvesant,1550
8468,1.0,1,high,7,4,49,6,24,Gowanus,1899
8470,1.0,1,low,1,1,1,6,21,Prospect Heights,2100
8511,1.0,2,medium,5,4,94,6,13,Park Slope,2800
8558,2.0,3,medium,6,16,110,6,6,Downtown,3571
8571,1.0,3,low,1,3,61,6,13,Clinton Hill,3595
8584,2.0,2,low,12,16,146,6,7,North Side,4999
8593,2.0,2,low,0,3,218,6,21,Bedford Stuyvesant,3000
8635,1.0,1,low,6,4,184,6,15,Dumbo,4314
8680,1.0,2,medium,8,10,202,6,3,North Side,4145
8691,2.0,2,medium,9,7,89,6,29,Wingate,2450
8755,1.0,1,medium,8,1,85,6,12,Bay Ridge,1500
8764,1.0,3,medium,6,13,92,6,2,East Williamsburg,3900
8772,1.5,4,low,9,0,13,6,9,Crown Heights,3795
8830,1.0,2,high,8,4,203,6,3,Fort Greene,2500
8896,1.0,1,low,4,5,46,6,4,Dumbo,3615
8917,1.0,1,low,0,1,1,6,25,Prospect Lefferts Gardens,1875
8943,2.0,2,medium,5,1,139,6,10,Ocean Hill,2300
8949,1.0,3,low,6,5,71,6,20,Ocean Hill,3400
8953,1.5,1,low,5,3,9,6,12,Windsor Terrace,2100
8954,2.0,4,low,12,2,76,6,29,Carroll Gardens,5100
9008,1.0,1,low,4,4,24,6,21,Brooklyn Heights,4000
9049,1.0,3,high,7,3,91,6,27,Greenpoint,3700
9115,1.0,2,low,5,4,2,6,15,Prospect Heights,3350
9135,1.0,1,high,10,12,246,6,2,North Side,3192
9215,2.0,2,low,9,2,138,6,29,Bedford Stuyvesant,2950
9248,1.0,1,low,3,5,9,6,2,Brooklyn Heights,4145
9251,1.0,0,low,8,2,54,6,25,Williamsburg,2600
9264,2.0,4,low,16,3,58,6,9,Sunset Park,2900
9268,1.0,2,high,6,2,27,6,29,Prospect Lefferts Gardens,1695
9269,1.0,0,low,5,9,30,6,7,Dumbo,3138
9279,1.5,3,low,0,3,77,6,4,Ocean Hill,3000
9322,1.0,1,low,5,2,98,6,6,Boerum Hill,2225
9369,1.0,1,low,6,8,197,6,1,Bedford Stuyvesant,2654
9408,1.0,1,high,6,2,51,6,19,Bay Ridge,1400
9440,1.0,0,low,5,4,84,6,21,Prospect Heights,2100
9467,1.0,1,medium,8,3,21,6,12,Windsor Terrace,2350
9485,1.0,2,medium,8,2,97,6,8,Brooklyn Heights,2950
9487,1.0,1,low,4,3,9,6,12,Kensington,2150
9544,1.0,2,low,8,3,75,6,18,North Side,3350
9580,1.0,1,low,3,4,9,6,12,Brooklyn Heights,3965
9585,1.0,1,low,10,1,43,6,22,Bedford Stuyvesant,3000
9586,1.0,2,low,13,3,36,6,25,Ditmas Park,2400
9592,1.0,2,high,11,2,129,6,11,Gowanus,1850
9596,2.0,2,medium,9,11,86,6,6,Brighton Beach,2650
9626,2.0,2,low,10,7,75,6,28,Weeksville,2700
9683,1.0,2,medium,5,4,23,6,7,Prospect Lefferts Gardens,2495
9713,1.0,3,medium,10,3,107,6,6,Ridgewood,2625
9785,1.0,1,medium,6,3,41,6,8,Ocean Hill,1775
9846,1.0,0,low,2,3,47,6,17,Fulton Ferry,2300
9857,1.0,0,low,7,14,222,6,24,Downtown,2450
9906,1.0,1,low,9,3,75,6,10,Bushwick,2599
9912,1.0,2,low,8,4,71,6,16,Park Slope,3900
9958,1.0,4,low,10,2,62,6,20,Bushwick,3500
10014,1.0,1,low,5,2,28,6,8,Bedford Stuyvesant,2000
10045,2.0,3,low,20,3,200,6,21,Brownsville,2300
10052,1.0,0,low,1,4,146,6,21,Dumbo,3156
10053,0.0,0,low,3,0,9,6,12,Sunset Park,2195
10079,1.0,3,low,5,4,131,6,23,Williamsburg,4600
10118,1.0,3,medium,1,3,40,6,16,Weeksville,2600
10120,1.0,3,high,6,6,29,6,9,Clinton Hill,2799
10224,1.0,0,low,5,4,78,6,4,Brooklyn Heights,2780
10255,1.0,0,medium,17,16,130,6,16,North Side,2625
10260,1.0,3,medium,8,3,38,6,29,Clinton Hill,2725
10266,1.0,2,medium,7,2,142,6,12,Carroll Gardens,3000
10272,2.0,4,low,9,3,46,6,3,Ocean Hill,3200
10276,1.0,2,low,1,3,91,6,21,Bensonhurst,2100
10432,1.0,2,low,0,2,41,6,3,Clinton Hill,3000
10481,2.0,3,low,8,11,108,6,10,Wingate,5300
10511,1.0,3,low,7,8,54,6,6,Bushwick,3200
10541,1.0,2,high,1,1,87,6,9,Flatlands,1850
10570,1.0,1,high,11,3,1,6,15,Cobble Hill,2000
10629,1.0,2,medium,4,5,204,6,11,Boerum Hill,3600
10642,1.0,3,low,6,3,79,6,25,East Williamsburg,4200
10648,2.0,4,low,10,3,109,6,24,Sunset Park,3200
10656,1.0,1,low,8,1,65,6,17,Boerum Hill,2995
10694,2.0,2,low,0,5,3,6,15,Hunters Point,4500
10700,2.0,3,medium,10,2,36,6,16,Weeksville,2300
10735,1.0,0,medium,4,1,57,6,2,Kensington,1625
10742,1.0,0,low,3,4,53,6,12,Dumbo,3305
10795,1.0,1,medium,6,6,70,6,8,Bedford Stuyvesant,1900
10857,1.0,2,low,8,0,75,6,25,Prospect Heights,3350
10871,1.0,2,medium,9,3,97,6,27,Brooklyn Heights,2600
10874,1.0,1,low,6,4,78,6,22,Prospect Heights,2400
10879,1.0,1,low,1,3,83,6,21,Park Slope,2400
10934,1.0,0,low,5,6,57,6,2,North Side,2550
10976,2.0,3,low,10,2,41,6,2,Ocean Hill,2695
10980,1.0,1,low,4,2,59,6,12,Prospect Heights,2600
11081,1.0,0,low,37,3,9,6,12,Downtown,2890
11084,1.0,1,low,9,4,45,6,14,Ocean Hill,2100
11098,1.0,1,low,6,5,84,6,27,Dumbo,3515
11123,1.0,1,medium,3,3,58,6,6,Prospect Heights,2050
11125,1.0,1,low,5,4,9,6,12,Cobble Hill,4295
11130,1.0,3,medium,3,2,57,6,1,Bushwick,3200
11142,1.0,0,low,0,1,9,6,12,North Side,2875
11193,1.0,3,high,11,2,58,6,8,Rugby,1950
11195,1.0,2,low,5,7,88,6,16,Downtown,4000
11208,1.0,1,medium,3,4,58,6,16,Clinton Hill,2150
11215,1.0,0,low,5,3,99,6,3,Brooklyn Heights,2150
11235,2.0,3,low,11,2,28,6,12,Ocean Hill,2500
11276,1.0,2,medium,4,3,62,6,16,Bushwick,2050
11281,1.0,2,low,13,2,9,6,21,Bedford Stuyvesant,2566
11292,1.0,0,low,7,1,9,6,12,Cobble Hill,2300
11313,4.0,8,low,0,4,43,6,25,Bedford Stuyvesant,6500
11327,1.0,2,low,4,3,9,6,17,Prospect Heights,2575
11342,1.0,2,low,9,4,27,6,21,Bedford Stuyvesant,2424
11437,1.0,2,low,14,1,87,6,29,Ocean Hill,2100
11445,1.0,3,low,8,4,122,6,24,Bushwick,2895
11507,1.0,1,high,5,1,46,6,26,Windsor Terrace,1900
11537,2.0,2,low,12,16,146,6,21,North Side,4999
11538,2.0,2,low,2,5,94,6,24,Brooklyn Heights,4450
11540,1.0,3,low,12,0,49,6,16,Borough Park,2400
11549,2.0,3,low,8,3,34,6,2,Bushwick,3300
11576,1.0,1,low,7,5,116,6,20,East Flatbush,3550
11613,1.0,1,high,8,0,9,6,12,Fort Hamilton,1550
11618,1.0,0,low,10,4,9,6,15,Dumbo,3671
11630,1.0,3,low,6,3,48,6,4,Prospect Park South,2600
11703,1.0,1,low,6,4,131,6,4,Brooklyn Heights,2500
